objectid,facilityid,name,length,width,surftype,hiking,mtbcycle,roadcycle,equestrian,ski,snowmobile,motorcycle,atv,mtrvehicle,skilllevel,condition,ownedby,maintby,status,trail_type,slope,created_user,last_edited_user,county,council_district,last_edited_date,created_date,installdate,shape_Length
1,4060,Lake Zorinsky Trail,3194.38318692,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/15 20:07:57+00,,3193.33009138475
2,158,144th Street South,942.97956869,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Douglas,,2022/12/08 14:07:55+00,2022/12/08 14:01:22+00,,942.66866030181
3,3546, ,131.05340335,10,Concrete, , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:29+00,2017/04/01 01:10:23+00,,131.011102945722
4,17,,1965.71389067,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Sarpy,,2022/12/08 14:10:29+00,2014/12/04 22:33:40+00,,1965.07285036605
5,4066,,4813.2590528,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/13 02:34:44+00,,4811.656708723
6,3518,Hidden Lake,2833.21386851,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:29+00,2017/04/01 01:10:23+00,,2832.29559751373
7,11734,Ridgeline Trail,938.83048944,,,Yes,No,No,No,No,No,No,No,No,Easy,,,,Existing,Park Trail,,jechezem,jechezem,Douglas,,2022/12/08 14:07:55+00,2022/12/06 20:59:38+00,,938.512696147463
8,3490,Habitat Hollow,862.62943282,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:29+00,2017/04/01 01:10:23+00,,862.348735413217
9,273,,2561.63655536,,,,,,,,,,,,,,,,Proposed,Multi-Use,,GIS,jechezem,Douglas,,2022/12/08 14:07:55+00,2014/12/22 20:53:21+00,,2560.77085507193
10,10932,Standing Bear Lake Trail,3615.03500444,,,,,,,,,,,,,,,,Existing,,,jechezem,jechezem,Douglas,,2022/12/08 14:07:55+00,2022/09/07 15:07:26+00,,3613.81959396465
11,4039,,3134.20378629,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/15 21:27:25+00,,3133.15961308633
12,3887,,467.37768287,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/15 21:12:09+00,,467.221064073269
13,3491,Hackberry,2018.06491893,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:29+00,2017/04/01 01:10:23+00,,2017.40857537682
14,3970,Glenn Cunningham Lake Trail,2755.35743436,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/16 02:29:02+00,,2754.42834129972
15,3989,Locust St Trail,5818.68416198,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/13 00:29:10+00,,5816.74044776072
16,3504,History,3824.63187306,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:29+00,2017/04/01 01:10:23+00,,3823.39457098982
17,4044,Westin Hills Park Trail,556.11815542,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/15 21:13:50+00,,555.931806302433
18,3554, ,89.55536393,10,Concrete, , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 13:49:44+00,2017/04/01 01:10:23+00,,89.5258978112173
19,3988,Pacific St Trail,5110.24688384,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/15 19:04:37+00,,5108.55356956125
20,5336,,791.94995801,,,,,,,,,,,,,,,,Proposed,,,jechezem,jechezem,Douglas,,2022/12/08 14:07:55+00,2020/05/13 17:20:32+00,,791.684103102768
21,3905,Lake Zorinsky Trail,831.44965987,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/15 19:38:35+00,,831.175439808443
22,63,Rambleridge,5609.501903,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:07:55+00,2014/12/04 22:33:40+00,,5607.61977827158
23,3946,Keystone Trail,1824.83867317,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:55+00,2017/05/13 02:42:35+00,,1824.22536046121
